factor,construct,item
Conscientiousness,Achievement-Striving,Go straight for the goal.
Conscientiousness,Achievement-Striving,Plunge into tasks with all my heart.
Conscientiousness,Achievement-Striving,Demand quality.
Conscientiousness,Achievement-Striving,Set high standards for myself and others.
Conscientiousness,Achievement-Striving,Turn plans into actions.
Conscientiousness,Achievement-Striving,Do more than what's expected of me.
Conscientiousness,Achievement-Striving,Work hard.
Conscientiousness,Achievement-Striving,Do just enough work to get by.
Conscientiousness,Achievement-Striving,Am not highly motivated to succeed.
Conscientiousness,Achievement-Striving,Put little time and effort into my work.
Extraversion,Activity-Level,Am always on the go.
Extraversion,Activity-Level,Am always busy.
Extraversion,Activity-Level,React quickly.
Extraversion,Activity-Level,Can manage many things at the same time.
Extraversion,Activity-Level,Do a lot in my spare time.
Extraversion,Activity-Level,React slowly.
Extraversion,Activity-Level,Like to take my time.
Extraversion,Activity-Level,Like a leisurely lifestyle.
Extraversion,Activity-Level,Like to take it easy.
Extraversion,Activity-Level,Let things proceed at their own pace.
Openness,Adventurousness,Like to visit new places.
Openness,Adventurousness,Interested in many things.
Openness,Adventurousness,Prefer variety to routine.
Openness,Adventurousness,Like to begin new things.
Openness,Adventurousness,Don't like the idea of change.
Openness,Adventurousness,Prefer to stick with things that I know.
Openness,Adventurousness,Dislike changes.
Openness,Adventurousness,Am a creature of habit.
Openness,Adventurousness,Am attached to conventional ways.
Openness,Adventurousness,Dislike new foods.
Openness,Aesthetic Appreciation/Artistic Interests,Love flowers.
Openness,Aesthetic Appreciation/Artistic Interests,Like music.
Openness,Aesthetic Appreciation/Artistic Interests,See beauty in things that others might not notice.
Openness,Aesthetic Appreciation/Artistic Interests,Believe in the importance of art.
Openness,Aesthetic Appreciation/Artistic Interests,Enjoy the beauty of nature.
Openness,Aesthetic Appreciation/Artistic Interests,Do not like poetry.
Openness,Aesthetic Appreciation/Artistic Interests,Do not enjoy watching dance performances.
Openness,Aesthetic Appreciation/Artistic Interests,Do not enjoy going to art museums.
Openness,Aesthetic Appreciation/Artistic Interests,Do not like art.
Openness,Aesthetic Appreciation/Artistic Interests,Do not like concerts.
Agreeableness,Altruism,Anticipate the needs of others.
Agreeableness,Altruism,Love to help others.
Agreeableness,Altruism,Have a good word for everyone.
Agreeableness,Altruism,Make people feel welcome.
Agreeableness,Altruism,Am concerned about others.
Agreeableness,Altruism,Am indifferent to the feelings of others.
Agreeableness,Altruism,Turn my back on others.
Agreeableness,Altruism,Make people feel uncomfortable.
Agreeableness,Altruism,Look down on others.
Agreeableness,Altruism,Take no time for others.
Neuroticism,Anger,Get irritated easily.
