author,text,bias,type,audience
Mark Pocan (Representative from Wisconsin),Excited to join @fairvote today @NYUWashingtonDC &amp; speak on need to safeguard our most fundamental right as Americans: our right to vote,neutral,policy,national
Ileana Ros-Lehtinen (Representative from Florida),Placer reunirme c la directora de @NTN24 @CGurisattiNTN24 y discutir #Venezuela. Debemos apoyar la lucha p #libertad! http://t.co/iYim1P7fBE,neutral,media,national
George Miller (Representative from California),DID YOU KNOW: 73% of Americans want to #RaiseTheWage and 67% of small business owners agree? #WEmatter,neutral,policy,national
John Boehner (Representative from Ohio),.@meridianstar: http://t.co/gyjLbggc0t @GreggHarper discusses #KidsFirst Act to boost funding for pediatric medical research cc: @GOPleader,neutral,policy,national
Richard Burr (Senator from North Carolina),".@AmericanLegion, @IAVA, @AMVETSNational, and @ConcernedVets release letters of support for #VeteransChoiceAct: http://t.co/Suriimso7s",neutral,support,national
Cory Booker (Senator from New Jersey),In law school I learned basics from a Buddhist instructor RT @swayneharris Do you practice any style of yoga as well? #meditation,neutral,support,national
Joe Donnelly (Senator from Indiana),"Joe voted for #VAWA because we need to stand up for all survivors of domestic violence, sexual assault, and stalking.",neutral,mobilization,national
Janice Hahn (Representative from California),Go #Dodgers!,neutral,personal,national
Sean Maloney (Representative from New York),We join together this month to commemorate Black History Month to honor the remarkable accomplishments and... http://t.co/sUEkAZ8crM,neutral,personal,national
George Holding (Representative from North Carolina),Great meeting with N.C. doctors from  @AAOHNSGovtAffrs today! http://t.co/DjnhumQA38,neutral,media,constituency
Ileana Ros-Lehtinen (Representative from Florida),Talked abt impt local + nat'l issues w/ @Univision. Airs 2nite at 6.30pm on #Miami Ch 23. http://t.co/2kz2lA0E,neutral,media,national
Bill Pascrell Jr. (Representative from New Jersey),"ICYMI: Be sure to check out the op-ed piece in today's Star Ledger that I co-authored with David J. Brown,... http://t.co/sEpECAJjqJ",neutral,policy,constituency
Jim Bridenstine (Representative from Oklahoma),@iCareeGuns A lot of my constituents are having trouble finding ammo too.  Looking into it. @cattypatriot Thanks for being protective.,neutral,personal,constituency
Mitch McConnell (Senator from Kentucky),.@leecruse thanks for having Sen. McConnell on your show on @WVLK today to discuss hemp seeds being held up by DEA. #Kentucky,neutral,media,constituency
Mick Mulvaney (Representative from South Carolina),I'm hosting a #townhall meeting in Rock Hill next week. Nov.6 @ 6 pm-Baxter Hood Ctr; York Tech-452 S. Anderson Rd RT!  #sctweets,neutral,media,national
Chaka Fattah (Representative from Pennsylvania),BBC News - Parkinson's stem cell 'breakthrough' We can rebuild the walls .... If we have a mind to Work .http://t.co/orsOT36pad,neutral,support,national
Ron Wyden (Senator from Oregon),"In fact, this Feb. in this affidavit CIA said the files ARE the SenateÛªs. CIA actively interfered w/our investigation http://t.co/n5tsnICGId",neutral,information,national
Ron Barber (Representative from Arizona),Show your Arizona pride-choose your favorite S. AZ picture for my Facebook cover photo! Retweet to spread the word! https://t.co/7PHHigA8nd,neutral,mobilization,constituency
Scott Perry (Representative from Pennsylvania),Good luck to York County resident #DaNicaShirey as she competes tonight on @NBCTheVoice. Learn more about DaNica here http://t.co/DSSNYky31J,neutral,personal,constituency
Grace Meng (Representative from New York),RT @USCISMediaNYNJ: Stanley Bussi with his 5th grade students and @RepGraceMeng moments after his naturalization. #FieldTrip! http://t.co/iÛ_,neutral,support,constituency
Harold Rogers (Representative from Kentucky),"RT @HouseAppropsGOP: Chairman @RepHalRogers thanks @US_FDA for its decision to prohibit generic, crushable OxyContin from coming to market Û_",neutral,personal,national
Barbara Boxer (Senator from California),WeÛªre still recovering from the greatest recession since the Great Depression. We must #RenewUI. http://t.co/wp2P0CXL9s,neutral,support,national
Joaquin Castro (Representative from Texas),Looking fwd to our conversation this morning on @ThisWeekABC. #SanAntonio tune in to @ksatnews at 9 am CST http://t.co/7ouxnhFyp3,neutral,media,national
Ileana Ros-Lehtinen (Representative from Florida),#Jordan is a great friend + ally of US in MidEast. Pleased 2 support resolution recognizing our important partnership 4 peace + security.,neutral,policy,national
Scott Garrett (Representative from New Jersey),RT if you think the American people deserve to know the true cost of government http://t.co/7qTbZHB8Ez #nofreelunch #budget #tcot,neutral,policy,national
Cory Booker (Senator from New Jersey),"Yes! Shouting: Super town. Home of 1945 World Series Champ Bob Maier! MT  @EmilyKCody My mom wants a shout out 2 Dunellen, NJ her home town!",neutral,personal,national
Rick Crawford (Representative from Arkansas),Appreciate @SenMarkPryor and @JohnBoozman for their bill to protect private land owners &amp; ag-producers: http://t.co/XdqLGkLG1m #AR #AR1,neutral,support,national
Eric Swalwell (Representative from California),Our #CongressOnYourCorner coupons tell you how we can help! At @cityofhayward today talking to those we serve. http://t.co/v5lMJO2zOL,neutral,constituency,constituency
Orrin Hatch (Senator from Utah),"#OTD in 1969, American astronaut Neil Armstrong stepped off the lunar landing module Eagle and walked on the surface of the moon",neutral,other,national
Michael Bennet (Senator from Colorado),".@PattyMurray Unfortunately for RSherman_25, there are no 'sorry receivers' on the @Broncos. #sb48 #sorrynotsorry",neutral,other,national
Brad Schneider (Representative from Illinois),Hope today Illinois joins the growing list of states allowing all couples the opportunity to share love &amp; commitment through marriage. #IL4M,neutral,support,national
Ed Royce (Representative from California),"To learn how to intern with my office and to apply for a Fall internship in D.C. or California, click here: http://t.co/bD3McJhvin",neutral,personal,national
Lynn Westmoreland (Representative from Georgia),"My bill, H.R. 4604, the CFPB Data Collection Security Act, has been passed by @FinancialCmte. Read more here --&gt; http://t.co/fzxapxBQyh",neutral,support,national
Bill Huizenga (Representative from Michigan),"Tim Howard, @USSoccer played a strong half.  Need to make sure we take advantage of quality looks on offense.  #TeamUSA  #Ibelieve #USMNT",neutral,information,national
Jerry Moran (Senator from Kansas),.@Forbes: Six Lessons for Building Startup Communities From the Founders of  @1MillionCupsKC http://t.co/L1kL1WreRg http://t.co/8HGB60opYc,neutral,personal,national
Jeffrey Duncan (Representative from South Carolina),Waffle House dinner with my bride!  Love breakfast food for supper!,neutral,personal,national
Cory Booker (Senator from New Jersey),Yes! Shout for Edgewater Park Twp MT @AdrianaBellini8  I'm from a small town called Edgewater Park Twp. in Burlington. #SundayJerseyShoutOut,neutral,personal,constituency
Robert Goodlatte (Representative from Virginia),TODAY at 10AM: @HouseJudiciary will hold a hearing to examine balanced budget amendments. Tune in: http://t.co/daUM6bHeFb #BBA,neutral,policy,constituency
Tony Cardenas (Representative from California),@REMIeconomics dr. fred treyz discusses the REMI report that shows state-by-state that #cirmeansjobs ! http://t.co/ktrCAPbIrf,neutral,policy,national
Vicky Hartzler (Representative from Missouri),Today Army CSM Bennie Adkins &amp; SPC Four Donald Sloat receive the #MedalofHonor. May God bless them for their service. http://t.co/euHgoZlmbK,neutral,support,national
JosÌ© Serrano (Representative from New York),RT @eduardobhatia: Extraordinaria entrevista de @SanchezOnline con @RepJoseSerrano explicando la crisis fiscal en los EU. @UnivisionPR @WKAÛ_,neutral,other,national
Steny Hoyer (Representative from Maryland),"RT @MD_DLDS: At the jobs forum, featuring the US Dept of Labor and Commerce secretaries and @WhipHoyer, hosted @AnneArundelCC http://t.co/bÛ_",neutral,information,national
