age,gender,education,take_vaccine,mandatory_vaccine,persona_a,persona_b,persona_c
Between 65 and 74,Woman,Postgraduate degree above bachelor's level,7,2,a woman aged between 65 and 74 with a postgraduate degree above bachelor's level,a woman aged between 65 and 74,a person aged between 65 and 74 with a postgraduate degree above bachelor's level
Between 55 and 64,Woman,Bachelor's degree,7,6,a woman aged between 55 and 64 with a bachelor's degree,a woman aged between 55 and 64,a person aged between 55 and 64 with a bachelor's degree
Between 35 and 44,Woman,"College, CEGEP or other non-university certificate or diploma",7,7,"a woman aged between 35 and 44 with a college, cegep or other non-university certificate or diploma",a woman aged between 35 and 44,"a person aged between 35 and 44 with a college, cegep or other non-university certificate or diploma"
75 or older,Woman,High school diploma or equivalent,7,7,a woman aged 75 or older with a high school diploma or equivalent,a woman aged 75 or older,a person aged 75 or older with a high school diploma or equivalent
Between 45 and 54,Man,Postgraduate degree above bachelor's level,6,1,a man aged between 45 and 54 with a postgraduate degree above bachelor's level,a man aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
Between 55 and 64,Woman,High school diploma or equivalent,7,4,a woman aged between 55 and 64 with a high school diploma or equivalent,a woman aged between 55 and 64,a person aged between 55 and 64 with a high school diploma or equivalent
Between 45 and 54,Man,Postgraduate degree above bachelor's level,6,6,a man aged between 45 and 54 with a postgraduate degree above bachelor's level,a man aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
Between 18 and 24,Man,Some high school,4,4,a man aged between 18 and 24 with a some high school,a man aged between 18 and 24,a person aged between 18 and 24 with a some high school
Between 45 and 54,Man,Bachelor's degree,7,6,a man aged between 45 and 54 with a bachelor's degree,a man aged between 45 and 54,a person aged between 45 and 54 with a bachelor's degree
Between 35 and 44,Man,Bachelor's degree,4,4,a man aged between 35 and 44 with a bachelor's degree,a man aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 18 and 24,Man,"College, CEGEP or other non-university certificate or diploma",4,4,"a man aged between 18 and 24 with a college, cegep or other non-university certificate or diploma",a man aged between 18 and 24,"a person aged between 18 and 24 with a college, cegep or other non-university certificate or diploma"
Between 45 and 54,Woman,Bachelor's degree,7,7,a woman aged between 45 and 54 with a bachelor's degree,a woman aged between 45 and 54,a person aged between 45 and 54 with a bachelor's degree
Between 45 and 54,Man,Postgraduate degree above bachelor's level,7,7,a man aged between 45 and 54 with a postgraduate degree above bachelor's level,a man aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
Between 25 and 34,Man,Bachelor's degree,6,6,a man aged between 25 and 34 with a bachelor's degree,a man aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
75 or older,Man,Bachelor's degree,7,7,a man aged 75 or older with a bachelor's degree,a man aged 75 or older,a person aged 75 or older with a bachelor's degree
Between 55 and 64,Woman,High school diploma or equivalent,6,6,a woman aged between 55 and 64 with a high school diploma or equivalent,a woman aged between 55 and 64,a person aged between 55 and 64 with a high school diploma or equivalent
Between 35 and 44,Woman,Bachelor's degree,7,7,a woman aged between 35 and 44 with a bachelor's degree,a woman aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 45 and 54,Woman,"College, CEGEP or other non-university certificate or diploma",5,6,"a woman aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a woman aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 65 and 74,Man,University certificate or diploma below bachelor's level,1,1,a man aged between 65 and 74 with a university certificate or diploma below bachelor's level,a man aged between 65 and 74,a person aged between 65 and 74 with a university certificate or diploma below bachelor's level
Between 45 and 54,Woman,High school diploma or equivalent,6,7,a woman aged between 45 and 54 with a high school diploma or equivalent,a woman aged between 45 and 54,a person aged between 45 and 54 with a high school diploma or equivalent
Between 35 and 44,Man,Bachelor's degree,7,7,a man aged between 35 and 44 with a bachelor's degree,a man aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 55 and 64,Woman,"College, CEGEP or other non-university certificate or diploma",7,7,"a woman aged between 55 and 64 with a college, cegep or other non-university certificate or diploma",a woman aged between 55 and 64,"a person aged between 55 and 64 with a college, cegep or other non-university certificate or diploma"
Between 45 and 54,Woman,"College, CEGEP or other non-university certificate or diploma",7,7,"a woman aged between 45 and 54 with a college, cegep or other non-university certificate or diploma",a woman aged between 45 and 54,"a person aged between 45 and 54 with a college, cegep or other non-university certificate or diploma"
Between 45 and 54,Woman,Postgraduate degree above bachelor's level,7,7,a woman aged between 45 and 54 with a postgraduate degree above bachelor's level,a woman aged between 45 and 54,a person aged between 45 and 54 with a postgraduate degree above bachelor's level
Between 25 and 34,Woman,"College, CEGEP or other non-university certificate or diploma",5,6,"a woman aged between 25 and 34 with a college, cegep or other non-university certificate or diploma",a woman aged between 25 and 34,"a person aged between 25 and 34 with a college, cegep or other non-university certificate or diploma"
Between 25 and 34,Man,Bachelor's degree,7,1,a man aged between 25 and 34 with a bachelor's degree,a man aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
Between 35 and 44,Woman,Bachelor's degree,7,3,a woman aged between 35 and 44 with a bachelor's degree,a woman aged between 35 and 44,a person aged between 35 and 44 with a bachelor's degree
Between 35 and 44,Man,Postgraduate degree above bachelor's level,3,1,a man aged between 35 and 44 with a postgraduate degree above bachelor's level,a man aged between 35 and 44,a person aged between 35 and 44 with a postgraduate degree above bachelor's level
Between 45 and 54,Woman,High school diploma or equivalent,7,5,a woman aged between 45 and 54 with a high school diploma or equivalent,a woman aged between 45 and 54,a person aged between 45 and 54 with a high school diploma or equivalent
Between 25 and 34,Woman,Bachelor's degree,7,1,a woman aged between 25 and 34 with a bachelor's degree,a woman aged between 25 and 34,a person aged between 25 and 34 with a bachelor's degree
Between 55 and 64,Man,Registered Apprenticeship or other trades certificate or diploma,7,7,a man aged between 55 and 64 with a registered apprenticeship or other trades certificate or diploma,a man aged between 55 and 64,a person aged between 55 and 64 with a registered apprenticeship or other trades certificate or diploma
